"mailgrp" "appeal" "ward" "voted98" "mailings"
"5846" 0 3 25 1 0
"5847" 0 1 25 1 0
"5848" 0 2 9 0 0
"5849" 0 2 15 0 0
"5850" 0 3 11 0 0
"5851" 0 2 16 0 0
"5853" 1 3 28 1 3
"5854" 0 2 21 1 0
"5855" 0 1 18 1 0
"5856" 0 3 3 1 0
"5857" 0 3 26 1 0
"5858" 1 2 15 0 1
"5859" 0 3 5 0 0
"5860" 0 1 12 0 0
"5861" 0 2 25 1 0
"5862" 1 1 30 1 3
"5864" 0 1 30 1 0
"5866" 0 1 11 0 0
"5868" 0 2 8 1 0
"5869" 0 3 8 1 0
"5870" 1 3 17 0 2
"5871" 1 1 3 1 2
"5872" 0 2 10 1 0
"5874" 1 2 13 0 1
"5875" 1 2 15 0 2
"5876" 1 3 27 1 1
"5877" 1 2 30 1 3
"5879" 0 1 30 0 0
"5880" 0 2 8 1 0
"5881" 0 1 18 1 0
"5882" 1 3 10 0 3
"5883" 0 2 18 1 0
"5884" 1 2 18 1 2
"5887" 0 2 22 0 0
"5888" 0 1 25 0 0
"5889" 1 2 17 0 1
"5890" 0 2 8 1 0
"5891" 1 2 10 1 1
"5893" 0 2 24 1 0
"5894" 0 1 4 0 0
"5896" 1 2 3 0 3
"5897" 1 3 18 1 3
"5899" 0 3 15 0 0
"5900" 0 1 13 1 0
"5901" 1 3 15 0 2
"5902" 1 2 18 1 3
"5903" 0 2 16 0 0
"5904" 1 2 18 0 2
"5906" 1 2 13 1 1
"5908" 1 3 12 1 1
"5909" 1 3 28 1 3
"5912" 0 3 17 1 0
"5913" 0 1 17 1 0
"5917" 1 1 16 1 3
"5918" 1 3 12 0 2
"5919" 0 3 19 0 0
"5920" 1 1 18 1 1
"5921" 1 3 2 0 2
"5923" 0 1 7 0 0
"5924" 1 3 5 0 2
"5925" 1 1 26 0 3
"5926" 1 1 29 1 3
"5927" 0 2 12 1 0
"5928" 0 1 26 1 0
"5929" 1 2 3 0 3
"5930" 1 1 7 0 1
"5932" 0 3 20 0 0
"5933" 1 3 21 0 1
"5934" 0 2 21 1 0
"5936" 1 2 22 0 1
"5937" 1 3 9 0 2
"5938" 0 3 6 0 0
"5939" 1 3 14 0 3
"5940" 1 3 25 1 3
"5941" 1 1 15 0 3
"5942" 0 2 11 1 0
"5944" 0 1 17 0 0
"5945" 1 2 13 1 1
"5946" 0 1 8 1 0
"5947" 0 1 25 1 0
"5948" 0 3 17 0 0
"5949" 0 2 14 0 0
"5951" 1 3 5 0 1
"5952" 1 2 30 0 1
"5953" 0 2 17 0 0
"5955" 0 3 6 0 0
"5956" 0 1 14 0 0
"5957" 1 2 16 1 2
"5958" 1 3 15 1 3
"5959" 1 2 6 1 1
"5960" 0 2 4 0 0
"5961" 0 3 6 0 0
"5962" 1 2 15 0 3
"5963" 1 2 15 0 1
"5964" 1 3 14 0 1
"5965" 0 3 26 0 0
"5966" 1 1 6 0 3
"5967" 0 2 13 0 0
"5968" 0 3 4 0 0
"5972" 0 1 3 1 0
"5976" 0 3 24 1 0
"5977" 0 1 12 1 0
"5978" 0 3 23 1 0
"5979" 0 3 25 1 0
"5980" 1 3 15 0 2
"5981" 1 2 8 0 3
"5983" 0 1 13 1 0
"5984" 0 3 5 1 0
"5986" 0 1 11 1 0
"5987" 0 1 11 1 0
"5990" 0 1 20 0 0
"5991" 0 3 5 0 0
"5992" 0 2 9 0 0
"5993" 0 2 28 1 0
"5994" 0 3 9 0 0
"5996" 1 2 19 1 2
"5998" 0 3 14 0 0
"5999" 0 2 14 0 0
"6002" 0 3 17 1 0
"6003" 0 2 17 1 0
"6004" 0 1 18 1 0
"6005" 0 1 17 1 0
"6006" 0 2 17 1 0
"6007" 0 3 26 0 0
"6008" 1 3 13 1 3
"6009" 0 2 25 1 0
"6010" 0 3 25 1 0
"6011" 0 1 6 0 0
"6012" 0 2 24 1 0
"6013" 0 3 12 1 0
"6014" 0 3 27 1 0
"6015" 0 2 25 1 0
"6016" 1 3 24 1 2
"6017" 1 3 12 0 2
"6018" 0 3 14 0 0
"6019" 0 2 24 1 0
"6021" 1 3 27 0 2
"6022" 0 3 24 1 0
"6023" 0 2 3 1 0
"6024" 1 2 4 1 3
"6025" 1 3 28 0 1
"6026" 0 2 30 0 0
"6028" 0 2 16 0 0
"6031" 1 1 30 1 2
"6032" 0 1 18 0 0
"6033" 1 1 26 1 1
"6034" 0 3 13 0 0
"6035" 0 3 12 0 0
"6036" 0 2 25 0 0
"6037" 1 2 27 1 2
"6038" 0 1 17 0 0
"6041" 1 2 4 0 1
"6042" 0 2 18 0 0
"6043" 1 1 11 1 2
"6044" 0 1 18 1 0
"6045" 0 2 2 0 0
"6046" 0 1 17 1 0
"6047" 1 1 25 0 2
"6049" 0 3 10 0 0
"6050" 1 3 26 1 3
"6051" 0 1 28 1 0
"6052" 1 3 13 0 3
"6053" 0 1 17 0 0
"6054" 0 3 13 1 0
"6055" 1 2 30 0 2
"6056" 1 3 29 0 2
"6057" 0 3 27 0 0
"6058" 1 3 5 0 2
"6059" 0 3 26 1 0
"6060" 1 1 19 1 2
"6061" 0 1 20 0 0
"6062" 1 3 3 1 1
"6064" 0 2 26 1 0
"6065" 1 1 17 1 2
"6066" 0 2 9 1 0
"6067" 0 3 18 1 0
"6068" 1 1 18 1 3
"6070" 0 3 8 1 0
"6071" 1 1 23 0 3
"6072" 0 3 26 0 0
"6073" 0 3 13 0 0
"6074" 0 3 20 0 0
"6075" 0 1 24 1 0
"6077" 0 2 7 0 0
"6078" 1 2 28 0 3
"6079" 1 3 27 0 3
"6080" 1 2 24 1 2
"6081" 1 1 6 1 2
"6083" 1 2 5 0 2
"6085" 0 2 3 0 0
"6086" 0 2 5 1 0
"6087" 0 3 15 0 0
"6089" 1 2 13 0 3
"6091" 0 2 18 1 0
"6092" 0 3 28 1 0
"6093" 1 1 5 1 3
"6094" 1 3 28 1 3
"6095" 0 1 29 0 0
"6096" 0 3 18 1 0
"6097" 0 2 10 1 0
"6098" 0 3 15 0 0
"6099" 0 3 18 1 0
"6100" 0 1 6 0 0
"6102" 1 2 25 1 2
"6103" 1 1 11 0 2
"6104" 1 2 9 1 1
"6105" 0 1 23 0 0
"6106" 0 2 17 0 0
"6107" 1 2 25 1 3
"6108" 0 1 22 0 0
"6109" 0 1 3 0 0
"6110" 0 2 18 1 0
"6113" 1 1 25 1 3
"6114" 0 1 16 0 0
"6116" 1 3 27 1 1
"6118" 0 2 18 1 0
"6119" 1 2 10 0 1
"6120" 0 2 12 1 0
"6121" 0 2 6 0 0
"6123" 0 2 14 1 0
"6124" 1 3 12 0 1
"6125" 1 1 13 0 2
"6126" 1 2 22 0 3
"6127" 0 1 26 1 0
"6129" 0 1 17 0 0
"6130" 1 3 18 1 1
"6131" 0 1 26 1 0
"6133" 0 3 27 0 0
"6134" 1 1 29 0 2
"6135" 0 1 24 0 0
"6136" 0 3 6 1 0
"6138" 0 3 9 1 0
"6139" 1 1 13 1 1
"6140" 0 1 10 1 0
"6141" 1 2 28 0 1
"6142" 0 2 27 0 0
"6143" 1 2 14 0 3
"6144" 0 3 20 0 0
"6146" 1 2 16 1 3
"6147" 0 2 23 0 0
"6148" 0 2 20 0 0
"6150" 0 3 17 0 0
"6151" 1 1 18 0 2
"6152" 0 2 17 1 0
"6153" 1 2 18 1 3
"6154" 0 1 13 0 0
"6155" 0 2 15 1 0
"6156" 1 1 9 1 3
"6157" 0 1 10 1 0
"6158" 0 1 21 1 0
"6159" 1 2 6 1 2
"6160" 1 2 12 0 2
"6161" 0 2 18 0 0
"6162" 0 2 13 0 0
"6164" 1 2 28 0 1
"6165" 0 2 28 1 0
"6166" 0 1 3 1 0
"6167" 0 3 27 0 0
"6169" 0 2 27 1 0
"6170" 1 3 10 1 3
"6172" 1 2 29 0 3
"6175" 1 2 16 1 2
"6177" 1 3 27 1 3
"6178" 1 1 26 0 3
"6179" 1 2 30 1 3
"6180" 0 3 20 1 0
"6182" 1 2 15 0 2
"6183" 0 3 10 0 0
"6185" 0 1 17 1 0
"6186" 1 2 18 0 2
"6187" 1 1 9 1 3
"6188" 1 2 8 0 2
"6189" 0 2 19 1 0
"6192" 0 3 9 1 0
"6193" 0 3 19 0 0
"6194" 0 3 13 0 0
"6195" 1 1 28 1 2
"6197" 0 3 15 0 0
"6198" 0 2 26 1 0
"6199" 1 2 9 1 3
"6200" 1 1 19 0 2
"6201" 0 1 25 0 0
"6202" 1 2 12 0 3
"6204" 1 3 10 1 2
"6205" 1 3 19 1 1
"6207" 0 2 28 1 0
"6208" 1 1 7 0 3
"6209" 0 1 29 1 0
"6210" 1 3 18 1 2
"6211" 0 1 8 1 0
"6212" 1 3 14 1 3
"6214" 1 2 24 1 1
"6215" 0 1 25 1 0
"6216" 1 1 18 1 2
"6217" 0 1 27 1 0
"6218" 0 2 15 0 0
"6219" 0 2 11 0 0
"6220" 0 3 26 1 0
"6222" 0 2 20 1 0
"6223" 0 1 20 1 0
"6224" 0 1 17 0 0
"6225" 0 2 17 0 0
"6226" 0 3 25 1 0
"6227" 0 2 9 1 0
"6228" 0 2 6 0 0
"6231" 1 2 15 0 3
"6232" 1 2 15 0 2
"6234" 1 2 18 0 2
"6235" 0 3 23 0 0
"6236" 0 2 27 1 0
"6237" 0 2 17 1 0
"6238" 0 3 24 0 0
"6239" 0 2 23 0 0
"6240" 1 2 13 0 3
"6241" 0 2 14 0 0
"6242" 0 1 29 0 0
"6243" 1 1 27 0 1
"6244" 0 3 13 1 0
"6245" 1 2 15 0 2
"6246" 1 2 25 0 3
"6247" 1 2 23 0 2
"6248" 0 3 8 0 0
"6249" 1 2 10 1 2
"6250" 0 3 26 1 0
"6251" 1 3 10 1 2
"6253" 0 2 15 1 0
"6256" 0 1 16 0 0
"6257" 1 3 13 0 2
"6258" 0 3 24 1 0
"6259" 1 2 25 0 1
"6260" 1 3 11 0 3
"6262" 0 1 7 0 0
"6263" 0 2 29 0 0
"6264" 0 1 9 0 0
"6265" 0 3 30 0 0
"6266" 0 2 10 1 0
"6267" 0 3 6 0 0
"6269" 1 2 12 0 2
"6270" 0 3 29 1 0
"6271" 0 1 13 1 0
"6273" 0 1 17 1 0
"6274" 1 2 30 0 1
"6275" 1 3 30 0 1
"6276" 1 2 27 1 2
"6277" 1 3 2 0 2
"6279" 1 2 18 0 3
"6280" 0 1 26 0 0
"6281" 0 2 2 1 0
"6283" 0 3 17 1 0
"6285" 1 2 29 1 3
"6286" 1 3 8 0 2
"6287" 0 2 26 1 0
"6288" 0 1 11 0 0
"6290" 0 1 26 1 0
"6291" 1 2 19 1 2
"6292" 0 3 2 1 0
"6294" 0 3 22 0 0
"6296" 0 2 25 0 0
"6297" 0 2 13 0 0
"6298" 0 2 24 1 0
"6299" 0 3 24 1 0
"6300" 0 2 21 0 0
"6302" 0 2 18 1 0
"6304" 0 2 18 1 0
"6305" 1 2 29 1 2
"6306" 1 2 30 0 3
"6307" 0 3 18 1 0
"6308" 0 2 19 1 0
"6309" 0 1 6 0 0
"6311" 0 3 25 1 0
"6312" 1 3 13 0 1
"6314" 1 3 3 0 2
"6316" 1 3 27 0 3
"6317" 0 2 4 1 0
"6318" 1 1 26 1 3
"6319" 0 2 19 1 0
"6320" 1 1 30 1 1
"6322" 0 3 15 0 0
"6323" 0 3 24 0 0
"6324" 0 2 4 1 0
"6325" 0 2 25 1 0
"6326" 1 3 6 0 3
"6327" 0 3 26 0 0
"6328" 0 1 12 1 0
"6329" 1 3 13 0 3
"6330" 0 1 18 1 0
"6331" 0 1 17 0 0
"6334" 1 1 21 1 3
"6335" 0 2 22 0 0
"6336" 0 1 19 1 0
"6337" 0 1 8 0 0
"6338" 0 2 10 0 0
"6339" 0 3 29 1 0
"6340" 1 3 13 0 3
"6342" 0 2 24 0 0
"6344" 1 3 30 0 2
"6345" 1 1 27 0 2
"6346" 0 2 26 1 0
"6347" 0 3 25 0 0
"6348" 1 3 13 1 2
"6349" 0 3 25 1 0
"6350" 0 3 3 0 0
"6353" 0 3 27 1 0
"6354" 0 3 21 0 0
"6355" 1 2 28 1 2
"6356" 1 3 12 1 3
"6357" 1 1 26 1 2
"6358" 0 2 7 0 0
"6359" 0 3 17 0 0
"6360" 0 3 27 0 0
"6361" 1 1 3 0 2
"6362" 0 1 4 0 0
"6363" 1 3 6 0 1
"6365" 0 3 3 1 0
"6366" 0 3 14 0 0
"6367" 0 3 3 1 0
"6368" 0 3 12 0 0
"6369" 0 1 17 1 0
"6370" 1 1 12 0 3
"6372" 0 3 12 0 0
"6373" 0 3 12 1 0
"6374" 0 1 15 0 0
"6375" 0 2 16 1 0
"6377" 1 3 3 0 3
"6379" 0 3 18 0 0
"6380" 1 3 13 1 3
"6382" 1 1 6 0 2
"6383" 0 1 16 0 0
"6385" 1 1 6 0 3
"6386" 1 3 18 1 1
"6387" 0 3 13 0 0
"6388" 0 2 17 1 0
"6389" 0 1 26 1 0
"6390" 1 3 27 0 1
"6391" 0 1 17 0 0
"6392" 0 2 9 0 0
"6395" 0 2 17 0 0
"6396" 0 2 16 0 0
"6397" 1 2 12 0 2
"6398" 1 1 13 0 1
"6399" 0 3 21 1 0
"6400" 1 1 19 1 1
"6401" 1 2 23 0 2
"6403" 0 1 24 1 0
"6404" 0 1 30 0 0
"6405" 1 2 20 0 3
"6406" 1 3 23 0 2
"6408" 0 1 28 0 0
"6409" 0 3 30 1 0
"6410" 0 2 5 1 0
"6411" 1 3 10 0 3
"6412" 1 2 2 0 3
"6413" 1 2 30 0 3
"6416" 1 2 16 0 2
"6417" 0 1 26 1 0
"6418" 0 3 14 0 0
"6419" 1 3 8 1 2
"6420" 1 2 19 1 3
"6421" 1 3 10 0 1
"6423" 1 3 24 1 2
"6424" 1 1 10 1 1
"6425" 1 2 27 1 3
"6426" 0 2 26 1 0
"6427" 1 3 13 1 1
"6428" 0 3 15 0 0
"6429" 0 3 14 0 0
"6430" 0 2 16 0 0
"6432" 1 3 14 0 3
"6433" 0 1 24 1 0
"6434" 0 3 29 0 0
"6435" 0 3 3 1 0
"6438" 1 1 4 0 3
"6439" 0 2 5 1 0
"6440" 0 2 17 1 0
"6442" 0 3 18 0 0
"6443" 1 1 12 0 1
"6444" 1 3 6 0 1
"6445" 0 3 4 1 0
"6446" 1 3 5 0 2
"6447" 0 2 4 0 0
"6448" 1 2 16 0 1
"6449" 0 2 13 1 0
"6450" 0 2 4 0 0
"6451" 0 1 16 0 0
"6454" 1 3 26 1 1
"6455" 0 1 27 0 0
"6456" 1 3 24 0 1
"6457" 0 2 27 0 0
"6458" 0 2 27 1 0
"6459" 0 3 25 1 0
"6461" 0 3 29 1 0
"6462" 1 3 9 1 3
"6463" 0 2 5 1 0
"6464" 0 1 14 0 0
"6465" 0 3 15 0 0
"6466" 0 3 24 1 0
"6467" 0 1 29 0 0
"6468" 0 1 8 0 0
"6469" 1 3 14 0 1
"6470" 1 3 11 1 3
"6471" 0 3 10 0 0
"6473" 0 1 4 0 0
"6474" 0 2 17 0 0
"6476" 0 3 18 0 0
"6477" 0 2 12 0 0
"6478" 1 1 17 0 2
"6479" 0 1 13 0 0
"6480" 0 1 16 0 0
"6481" 1 1 15 1 2
"6482" 1 2 12 0 3
"6484" 1 1 26 1 2
"6485" 1 2 2 0 1
"6487" 1 2 29 1 3
"6489" 0 1 28 0 0
"6490" 1 1 26 1 3
"6491" 0 1 6 1 0
"6492" 0 2 6 1 0
"6493" 1 1 26 1 3
"6494" 1 3 25 1 2
"6495" 0 1 23 0 0
"6496" 0 2 17 1 0
"6497" 0 1 13 0 0
"6500" 0 1 13 1 0
"6501" 1 2 8 1 1
"6502" 0 2 27 0 0
"6503" 1 1 18 1 3
"6504" 0 3 19 1 0
"6505" 0 3 13 1 0
"6506" 1 2 19 1 1
"6507" 0 2 25 0 0
"6508" 0 2 14 0 0
"6509" 0 1 26 1 0
"6513" 0 2 26 0 0
"6515" 0 2 24 0 0
"6516" 1 1 24 1 2
"6517" 0 1 7 1 0
"6518" 0 2 14 0 0
"6519" 0 1 17 0 0
"6520" 1 1 18 0 1
"6521" 0 2 13 0 0
"6523" 0 2 17 0 0
"6525" 1 1 16 1 1
"6526" 1 3 22 0 1
"6527" 1 3 22 1 3
"6528" 0 2 14 1 0
"6529" 0 2 18 0 0
"6530" 0 2 18 1 0
"6531" 1 2 12 1 2
"6532" 1 2 13 1 3
"6533" 0 2 25 1 0
"6534" 1 3 12 1 1
"6535" 1 2 25 1 2
"6536" 0 1 17 1 0
"6537" 1 2 13 0 1
"6538" 1 2 18 0 2
"6539" 0 3 10 1 0
"6540" 0 2 8 1 0
"6541" 1 2 26 1 3
"6543" 1 2 25 0 1
"6544" 1 3 25 1 3
"6546" 1 1 18 1 2
"6547" 0 2 18 1 0
"6550" 1 2 19 0 2
"6551" 1 3 12 0 2
"6552" 0 2 19 0 0
"6553" 0 2 13 0 0
"6555" 0 1 25 1 0
"6556" 0 3 18 0 0
"6557" 0 1 13 0 0
"6558" 0 3 28 0 0
"6559" 0 1 25 1 0
"6560" 1 2 24 1 3
"6564" 1 3 19 1 1
"6565" 1 2 12 0 2
"6566" 1 2 18 1 1
"6567" 1 2 30 1 2
"6568" 1 3 23 0 2
"6569" 1 1 4 1 3
"6571" 0 3 15 1 0
"6572" 1 2 17 0 3
"6573" 1 3 22 0 1
"6575" 0 1 8 0 0
"6576" 0 2 2 1 0
"6577" 0 2 25 0 0
"6578" 0 3 9 1 0
"6579" 0 1 19 1 0
"6580" 0 3 18 1 0
"6581" 0 2 10 1 0
"6582" 1 2 17 0 2
"6583" 0 3 3 0 0
"6586" 0 2 4 0 0
"6588" 0 3 5 1 0
"6589" 0 3 16 1 0
"6591" 0 3 6 1 0
"6592" 1 3 5 0 2
"6593" 0 3 27 1 0
"6594" 0 2 5 0 0
"6595" 1 2 5 1 1
"6597" 1 3 18 0 2
"6598" 1 3 15 0 2
"6599" 0 2 17 0 0
"6600" 1 3 5 0 1
"6602" 0 1 10 1 0
"6603" 1 1 19 0 3
"6604" 0 2 11 0 0
"6606" 0 1 26 1 0
"6607" 0 1 24 0 0
"6608" 0 1 28 1 0
"6609" 1 3 28 1 3
"6610" 0 1 19 1 0
"6611" 0 1 28 1 0
"6612" 1 3 14 0 2
"6613" 0 3 24 1 0
"6614" 0 1 25 0 0
"6615" 1 1 11 0 2
"6616" 1 1 8 1 1
"6617" 1 1 27 1 2
"6618" 1 1 18 0 2
"6619" 1 2 11 1 2
"6621" 0 1 18 0 0
"6622" 0 2 18 1 0
"6624" 1 3 9 1 1
"6625" 0 1 25 0 0
"6626" 1 3 23 1 3
"6627" 0 1 4 1 0
"6628" 1 2 25 1 3
"6631" 0 2 25 0 0
"6633" 0 2 14 1 0
"6634" 0 3 13 0 0
"6635" 0 3 15 0 0
"6637" 0 2 26 1 0
"6638" 0 3 19 1 0
"6639" 1 1 19 1 1
"6640" 0 1 25 0 0
"6643" 1 2 10 1 3
"6644" 0 1 26 0 0
"6645" 1 3 10 1 2
"6647" 1 2 25 1 2
"6648" 0 3 25 1 0
"6649" 1 3 10 1 3
"6650" 1 1 9 0 3
"6651" 0 1 25 0 0
"6652" 0 2 10 1 0
"6653" 1 2 13 1 2
"6654" 0 1 18 1 0
"6655" 1 2 13 0 1
"6656" 0 1 13 1 0
"6657" 0 1 10 0 0
"6659" 1 3 25 1 3
"6660" 1 2 9 0 3
"6662" 1 1 27 1 2
"6663" 0 3 6 1 0
"6664" 0 3 18 1 0
"6667" 1 1 27 1 2
"6669" 0 1 15 1 0
"6670" 0 2 29 1 0
"6671" 0 1 21 0 0
"6673" 1 1 27 0 1
"6674" 0 1 4 0 0
"6675" 1 3 30 1 1
"6676" 0 2 27 0 0
"6678" 1 2 28 1 3
"6679" 0 1 28 1 0
"6680" 1 3 23 0 3
"6681" 0 1 3 0 0
"6683" 0 2 20 0 0
"6684" 0 2 25 1 0
"6685" 1 1 12 1 1
"6687" 0 3 12 1 0
"6688" 0 3 10 0 0
"6691" 0 2 17 0 0
"6692" 0 1 4 1 0
"6693" 1 3 26 1 3
"6694" 1 2 12 1 1
"6695" 1 1 13 1 2
"6698" 0 3 17 0 0
"6699" 0 3 12 1 0
"6700" 1 2 19 1 2
"6702" 0 2 26 0 0
"6703" 1 1 29 0 2
"6704" 0 1 20 1 0
"6705" 1 1 21 0 3
"6706" 0 1 15 0 0
"6707" 0 3 28 1 0
"6708" 1 1 14 1 3
"6709" 0 2 24 0 0
"6710" 0 3 26 1 0
"6711" 1 1 22 0 1
"6712" 0 3 28 1 0
"6713" 1 1 4 0 1
"6714" 1 2 12 0 3
"6715" 0 2 25 1 0
"6716" 0 2 26 1 0
"6717" 1 2 12 0 2
"6719" 1 2 26 1 1
"6720" 0 1 18 0 0
"6721" 1 3 28 1 3
"6723" 0 3 8 1 0
"6726" 0 3 18 1 0
"6728" 1 2 28 1 3
"6729" 1 1 25 1 3
"6730" 1 3 26 1 2
"6731" 1 3 25 1 1
"6732" 0 2 14 1 0
"6733" 0 2 10 0 0
"6734" 1 3 8 0 3
"6735" 1 2 11 0 1
"6737" 1 1 17 1 3
"6738" 1 3 18 1 1
"6739" 1 1 20 0 1
"6740" 1 2 23 0 2
"6741" 0 2 19 1 0
"6744" 1 1 10 1 3
"6745" 0 3 12 1 0
"6746" 1 2 5 0 1
"6747" 0 3 6 0 0
"6749" 0 3 12 1 0
"6750" 0 1 26 0 0
"6751" 1 2 11 1 1
"6753" 1 1 27 0 1
"6754" 0 3 7 0 0
"6755" 1 1 20 0 1
"6756" 0 1 12 1 0
"6757" 0 3 15 0 0
"6758" 1 2 2 0 3
"6759" 1 2 3 1 1
"6760" 0 1 17 0 0
"6761" 1 1 26 0 2
"6762" 0 3 18 1 0
"6763" 0 3 23 1 0
"6765" 0 1 9 1 0
"6768" 1 1 10 1 3
"6769" 1 3 2 0 3
"6770" 0 3 5 0 0
"6771" 1 2 2 0 3
"6773" 0 3 24 1 0
"6774" 1 1 2 1 2
"6775" 0 1 27 1 0
"6776" 1 2 28 0 2
"6777" 1 2 27 0 3
"6779" 0 3 11 0 0
"6781" 1 3 22 1 2
"6782" 0 2 4 1 0
"6783" 0 2 14 0 0
"6784" 1 3 22 1 2
"6785" 1 3 25 0 2
"6786" 1 1 18 0 3
"6787" 1 1 20 0 3
"6788" 0 2 23 0 0
"6789" 1 3 26 0 2
"6791" 1 2 26 1 2
"6792" 1 3 29 1 3
"6793" 0 1 10 1 0
"6795" 0 1 18 0 0
"6796" 0 1 26 1 0
"6798" 1 1 18 0 2
"6799" 1 2 28 1 1
"6800" 1 3 8 1 3
"6801" 1 1 26 1 1
"6803" 1 3 26 1 1
"6804" 1 2 16 1 1
"6806" 1 3 5 0 1
"6807" 0 3 5 0 0
"6808" 0 1 19 1 0
"6810" 0 2 17 0 0
"6811" 0 3 10 1 0
"6812" 0 1 5 0 0
"6814" 0 1 24 0 0
"6816" 1 1 2 0 3
"6817" 1 3 6 0 3
"6819" 0 2 14 0 0
"6820" 0 3 18 1 0
"6822" 0 1 27 1 0
"6823" 0 1 21 0 0
"6824" 1 2 9 1 2
"6826" 1 2 17 1 3
"6827" 1 3 9 1 1
"6829" 0 2 13 0 0
"6830" 0 2 12 0 0
"6831" 0 1 26 0 0
"6832" 0 2 12 0 0
"6833" 0 2 26 0 0
"6834" 0 1 22 1 0
"6835" 0 1 9 1 0
"6836" 1 2 2 1 2
"6837" 0 3 10 1 0
"6838" 0 3 17 0 0
"6839" 0 1 14 1 0
"6840" 0 1 6 1 0
"6841" 0 3 6 0 0
"6842" 0 1 8 0 0
"6843" 1 1 2 1 3
"6845" 1 2 17 0 2
"6846" 0 1 13 1 0
"6847" 1 2 28 1 1
"6848" 1 1 10 1 1
"6849" 1 2 14 0 1
"6850" 0 3 18 1 0
"6851" 0 3 26 1 0
"6852" 0 3 25 1 0
"6853" 0 1 25 1 0
"6855" 1 1 21 0 3
"6856" 0 1 26 0 0
"6857" 0 2 21 1 0
"6858" 1 3 23 0 2
"6860" 0 3 16 1 0
"6861" 0 3 25 1 0
"6864" 1 2 10 1 2
"6865" 1 3 27 1 3
"6866" 0 2 29 0 0
"6867" 0 1 26 1 0
"6869" 1 2 28 0 2
"6870" 1 3 25 1 1
"6871" 0 1 2 0 0
"6872" 0 3 6 0 0
"6873" 0 1 10 1 0
"6874" 1 1 2 0 1
"6875" 1 3 27 1 1
"6876" 0 1 10 0 0
"6877" 0 3 26 0 0
"6878" 0 2 12 0 0
"6879" 1 1 27 1 3
"6880" 0 3 10 1 0
"6881" 0 1 11 1 0
"6883" 1 3 12 0 1
"6884" 1 1 15 1 1
"6885" 0 3 10 1 0
"6886" 1 2 11 1 2
"6887" 1 1 14 1 1
"6888" 0 3 13 0 0
"6889" 1 2 20 0 2
"6890" 1 2 6 0 2
"6892" 1 3 24 0 2
"6894" 0 1 20 0 0
"6897" 1 1 27 1 3
"6898" 0 3 24 1 0
"6899" 0 3 21 1 0
"6900" 1 1 26 0 1
"6901" 0 1 27 0 0
"6902" 1 3 25 1 2
"6903" 1 1 24 1 3
"6906" 0 2 13 1 0
"6907" 0 1 13 1 0
"6908" 0 1 25 1 0
"6909" 1 1 28 1 2
"6910" 0 1 9 0 0
"6911" 0 1 27 1 0
"6913" 0 3 26 0 0
"6914" 0 2 2 1 0
"6915" 0 3 19 0 0
"6916" 0 2 26 1 0
"6917" 1 2 11 0 3
"6918" 0 2 29 0 0
"6919" 0 3 30 0 0
"6920" 0 3 9 0 0
"6921" 1 1 30 0 3
"6922" 0 2 29 1 0
"6923" 1 2 20 0 3
"6924" 0 2 25 1 0
"6925" 1 1 22 0 3
"6926" 0 3 23 1 0
"6927" 1 3 20 0 1
"6928" 1 1 27 1 2
"6929" 0 1 15 1 0
"6930" 1 1 27 0 1
"6931" 1 1 17 1 2
"6932" 0 3 26 1 0
"6933" 1 1 27 0 2
"6934" 0 2 16 1 0
"6935" 1 2 11 0 2
"6936" 0 3 14 0 0
"6937" 0 3 12 0 0
"6938" 0 1 25 1 0
"6939" 1 2 26 0 2
"6940" 0 3 28 1 0
"6941" 1 2 20 1 2
"6942" 1 1 7 1 2
"6943" 0 3 29 1 0
"6944" 1 3 26 0 1
"6945" 0 2 23 0 0
"6947" 1 1 27 1 1
"6948" 0 1 21 0 0
"6950" 0 3 10 1 0
"6952" 0 2 7 1 0
"6953" 1 1 26 0 3
"6954" 1 3 27 0 2
"6955" 0 1 11 0 0
"6956" 0 2 8 0 0
"6957" 0 2 22 1 0
"6958" 0 2 18 0 0
"6959" 1 1 18 1 2
"6960" 0 2 25 1 0
"6961" 0 1 19 1 0
"6962" 0 1 23 1 0
"6963" 0 1 27 1 0
"6964" 0 3 21 1 0
"6965" 1 2 30 0 2
"6966" 0 3 8 0 0
"6968" 1 3 23 1 2
"6969" 0 3 2 0 0
"6970" 0 2 30 1 0
"6973" 0 1 12 1 0
"6974" 1 1 27 0 1
"6975" 1 1 6 0 2
"6977" 1 1 14 0 3
"6978" 1 1 17 1 1
"6979" 1 1 25 0 1
"6980" 0 1 5 0 0
"6981" 1 2 9 0 3
"6982" 0 2 8 1 0
"6983" 0 1 5 1 0
"6984" 0 1 5 1 0
"6985" 0 3 13 0 0
"6986" 0 1 18 0 0
"6987" 0 2 16 0 0
"6988" 1 1 14 0 2
"6989" 0 3 15 0 0
"6990" 0 2 25 0 0
"6991" 1 3 17 0 1
"6994" 0 1 23 1 0
"6996" 1 1 18 1 2
"6997" 0 2 30 0 0
"6998" 1 3 19 0 1
"6999" 1 3 17 1 3
"7000" 0 1 15 1 0
"7001" 0 3 25 1 0
"7002" 1 2 11 1 2
"7003" 0 1 26 0 0
"7005" 1 1 15 1 3
"7007" 0 1 18 1 0
"7009" 0 1 15 0 0
